model,class,precision,recall,f1_score,support
Hybrid TF-IDF + AST + XGBoost,MT3,0.8102678571428571,0.8066666666666666,0.8084632516703786,450
Hybrid TF-IDF + AST + XGBoost,ST3,0.8846153846153846,0.92,0.9019607843137255,450
Hybrid TF-IDF + AST + XGBoost,T0,0.9688195991091314,0.9666666666666667,0.967741935483871,450
Hybrid TF-IDF + AST + XGBoost,T1,0.9956331877729258,0.9956331877729258,0.9956331877729258,229
Hybrid TF-IDF + AST + XGBoost,T2,0.98,0.9423076923076923,0.9607843137254902,52
Hybrid TF-IDF + AST + XGBoost,VST3,0.9801980198019802,0.9801980198019802,0.9801980198019802,101
Hybrid TF-IDF + AST + XGBoost,WT3,0.9130434782608695,0.8866666666666667,0.8996617812852311,450
