actual\predicted,MT3,ST3,T0,T1,T2,VST3,WT3
MT3,362,52,5,0,0,0,31
ST3,30,420,0,0,0,0,0
T0,9,0,436,0,0,0,5
T1,0,0,0,228,1,0,0
T2,0,0,0,1,50,1,0
VST3,0,3,0,0,0,98,0
WT3,40,0,11,0,0,0,399
