actual\predicted,MT3,ST3,T0,T1,T2,T4,VST3,WT3
MT3,292,74,32,0,0,0,1,51
ST3,61,387,1,0,0,0,1,0
T0,30,3,377,0,0,1,0,39
T1,0,0,0,229,0,0,0,0
T2,0,1,0,0,46,0,5,0
T4,0,1,0,0,0,449,0,0
VST3,0,7,0,0,0,0,94,0
WT3,82,4,57,0,0,1,0,306
